1,Bircotes
2,Hardingstone
3,Waterlooville
4,Newton Abbot
5,Houghton-Le-Spring
6,Rayleigh
7,Workington
8,Kemsing
9,Hucknall
10,Great Bookham
11,Croydon
12,Huyton
13,Alsager
14,Princes Risborough
15,Aveley
16,Burnley
17,Furnace Green
18,Haydock
19,Rotherham
20,Southend-on-Sea
21,Camborne
